Strategy,E(R),Std(R),Sharpe,DD(R),Sortino,MDD
DL,0.08688246570839352,0.09044678827344714,0.9605920493906581,0.06182668138476892,1.4052584379823614,0.17210756161518959
MV,0.01179806024961987,0.09233944049786398,0.12776837487869322,0.06748280739850833,0.17483060803840625,0.3190455211646902
MD,0.07164317038248855,0.07139709363782505,1.0034465933012873,0.051483987642765336,1.3915621858897715,0.17139839766687248
BM1_25_25_25_25,0.04390664773930967,0.068080681460227,0.6449208027531291,0.05015323370036914,0.8754499859694291,0.16671155043242936
BM2_50_10_20_20,0.06817792900816931,0.09571789130911906,0.7122798891169678,0.07000282302861668,0.9739311367528509,0.217979595640738
BM3_10_50_20_20,0.03427052120049901,0.05370196120329334,0.6381614457387328,0.03973244580413601,0.8625323839724852,0.13083440218998887
BM4_40_40_10_10,0.06586904857323898,0.0749400155343902,0.8789569644939756,0.054614445588434535,1.2060737386151876,0.1804138587295645
